ID;PUNTO DE MEDICION;ESTADO;FECHA;DIAF;MESF;ANOF;HORA;HORARIO;CAUDAL ACUMULADO ANTERIOR;CAUDAL ACUMULADO;LECTURA MES ANTERIOR;LECTURA REGISTRO;INSTRUMENTO
SRM09;"Chaverri cinlindrico 90 Final ( 8"" )";Linea fuera de Operación;2/5/22;2;5;2022;9:59:00 a. m.;AM;579.299,89;529.299,89;  ;  ; MA 
SRM42;"Conducción Noventa a Palmar (4"")";Operacion Correcta;2/5/22;2;5;2022;9:56:00 a. m.;AM;762.749,71;799.625,58;17,2;16,78; MA 
SRM05;"Vertedero Tanque Noventa (18"") (Intrusivo)";Punto Sin Macromedidor;;0;4;2022;;AM;  ;;  ;; MA 
;Iris Hernández;Operacion Correcta;3/5/22;3;5;2022;11:01:00 a. m.;AM;43.463,99;57.817,00;6,65;5,38; M1  
PEND;Derivación ASADA San Pedro de Barva;Macromedidor en mal estado;3/5/22;3;5;2022;;AM;;;;; M2  
BM09;Botho Steinvorth;Operacion Correcta;3/5/22;3;5;2022;11:04:00 a. m.;AM;1.811.840,10;1.820.912,09;8,76;; MA 
BM08;Llegada de las 29 al Tanque Steinvorth;Operacion Correcta;3/5/22;3;5;2022;10:59:00 a. m.;AM;1.791.455,20;1.817.626,00;8,34;11,77; MA 
BM21;"Conducción Flores al Tirol (8"") Saliendo";Operacion Correcta;3/5/22;3;5;2022;11:27:00 a. m.;AM;4.723.443,20;4.855.063,10;67,23;62,09; MA 
;29 Catarata;Operacion Correcta;3/5/22;3;5;2022;9:15:00 a. m.;AM;;13.131,00;;11,16;
BM16;Arrieta;Operacion Correcta;3/5/22;3;5;2022;8:17:00 a. m.;AM;3.321.771,70;3.385.386,60;;23,24; MA 
;La Anexa;Datos Irregulares;3/5/22;3;5;2022;8:25:00 a. m.;AM;77.057,15;91.823,00;;8,08; M1 
BM03;Carlos Steinvorth;Operacion Correcta;3/5/22;3;5;2022;8:32:00 a. m.;AM;3.201.825,90;3.201.826,70;;15,84; MA 
;29 A;Operacion Correcta;3/5/22;3;5;2022;9:49:00 a. m.;AM;;19.003,00;;12,76; M1 
